TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,date
1,-,Renaissance: A Film by Beyoncé,11619984,0.0,0.0,2539,4576,11619984,1,N/A,2023-12-01
2,-,Godzilla Minus One,4726373,0.0,0.0,2308,2047,4726373,1,N/A,2023-12-01
3,1,The Hunger Games: The Ballad of Songbirds & Snakes,4098544,141.1,-63.8,3691,1110,110841952,15,Lionsgate Films,2023-12-01
4,-,Animal,2778329,0.0,0.0,698,3980,2778329,1,N/A,2023-12-01
5,2,Napoleon,2125462,93.1,-74.7,3500,607,40740705,10,Columbia Pictures,2023-12-01
6,-,The Shift,1750398,0.0,0.0,2450,714,1750398,1,Angel Studios,2023-12-01
7,4,Trolls Band Together,1691040,227.3,-76.4,3616,467,68924095,15,Universal Pictures,2023-12-01
8,3,Wish,1652988,190.2,-79.6,3900,423,36196930,10,Walt Disney Studios Motion Pictures,2023-12-01
9,-,Silent Night,1088202,0.0,0.0,1870,581,1088202,1,Lionsgate Films,2023-12-01
10,5,Thanksgiving,763127,125.1,-72.6,2506,304,26510760,15,TriStar Pictures,2023-12-01
11,7,The Marvels,648706,116.6,-73.4,2200,294,78874892,22,Walt Disney Studios Motion Pictures,2023-12-01
12,9,Dream Scenario,591750,231.0,151.2,1578,375,2372634,22,A24,2023-12-01
13,6,Saltburn,508281,64.7,-18.5,1566,324,5175167,15,Warner Bros.,2023-12-01
14,8,The Holdovers,341405,81.0,-68.1,1312,260,14265690,36,Focus Features,2023-12-01
15,14,Taylor Swift: The Eras Tour,142901,153.3,-84.0,636,224,179131590,50,N/A,2023-12-01
16,12,Killers of the Flower Moon,119462,60.8,-70.9,420,284,66172467,43,Paramount Pictures,2023-12-01
17,13,Five Nights at Freddy's,104090,76.6,-83.9,732,142,136621660,36,Universal Pictures International (UPI),2023-12-01
18,10,Priscilla,99995,25.1,-78.5,435,229,20149573,36,A24,2023-12-01
19,11,Next Goal Wins,66600,-15.1,-90.1,500,133,6233315,15,Searchlight Pictures,2023-12-01
20,16,Radical,56429,153.5,-77.2,255,221,8033788,29,Pantelion Films,2023-12-01
21,15,Journey to Bethlehem,49082,1.1,-80.2,466,105,6009139,22,Affirm Films,2023-12-01
22,-,Eileen,37863,0.0,0.0,6,6310,37863,1,N/A,2023-12-01
23,17,Anatomy of a Fall,16103,37.0,-38.1,72,223,3441251,50,N/A,2023-12-01
24,18,Oppenheimer,3405,-11.7,-63.6,101,33,325374280,134,Universal Pictures,2023-12-01
25,25,Barbie,2020,53.6,-57.8,31,65,636195181,134,Warner Bros.,2023-12-01
26,19,Stop Making Sense2023  Re-release,1907,-48.0,-37.0,9,211,5067979,71,N/A,2023-12-01
27,22,After Death,1087,-37.3,-83.0,22,49,11469322,36,Angel Studios,2023-12-01
28,23,Peeping Tom2023 Re-release,1020,-28.2,-53.9,2,510,12555,36,N/A,2023-12-01
29,-,Clean Slate2023 Re-release,885,0.0,0.0,1,885,885,1,Rialto Pictures,2023-12-01
30,28,Smoke Sauna Sisterhood,278,-49.2,-59.7,2,139,5629,8,Greenwich Entertainment,2023-12-01
31,24,The Marsh King's Daughter,93,-93.2,-88.7,3,31,1790239,29,Lionsgate Films,2023-12-01
1,3,The Hunger Games: The Ballad of Songbirds & Snakes,6045644,47.5,-45.5,3691,1637,116887596,16,Lionsgate Films,2023-12-02
2,1,Renaissance: A Film by Beyoncé,6024538,-48.2,0.0,2539,2372,17644522,2,N/A,2023-12-02
3,2,Godzilla Minus One,3735270,-21.0,0.0,2308,1618,8461643,2,N/A,2023-12-02
4,7,Trolls Band Together,3612560,113.6,-44.8,3616,999,72536655,16,Universal Pictures,2023-12-02
5,8,Wish,3531470,113.6,-50.5,3900,905,39728400,11,Walt Disney Studios Motion Pictures,2023-12-02
6,5,Napoleon,3087369,45.3,-59.0,3500,882,43828074,11,Columbia Pictures,2023-12-02
7,4,Animal,2027027,-27.0,0.0,698,2904,4805356,2,N/A,2023-12-02
8,6,The Shift,1424674,-18.6,0.0,2450,581,3175072,2,Angel Studios,2023-12-02
9,10,Thanksgiving,1179235,54.5,-57.6,2506,470,27689995,16,TriStar Pictures,2023-12-02
10,11,The Marvels,1165708,79.7,-52.9,2200,529,80040600,23,Walt Disney Studios Motion Pictures,2023-12-02
11,9,Silent Night,1164594,7.0,0.0,1870,622,2252796,2,Lionsgate Films,2023-12-02
12,13,Saltburn,648719,27.6,-4.1,1566,414,5823886,16,Warner Bros.,2023-12-02
13,12,Dream Scenario,627255,6.0,171.7,1578,397,2999889,23,A24,2023-12-02
14,14,The Holdovers,520785,52.5,-51.0,1312,396,14786475,37,Focus Features,2023-12-02
15,15,Taylor Swift: The Eras Tour,263996,84.7,-68.2,636,415,179395586,51,N/A,2023-12-02
16,16,Killers of the Flower Moon,202479,69.5,-51.6,420,482,66374946,44,Paramount Pictures,2023-12-02
17,17,Five Nights at Freddy's,200505,92.6,-72.1,732,273,136822165,37,Universal Pictures International (UPI),2023-12-02
18,18,Priscilla,132993,33.0,-72.3,435,305,20282566,37,A24,2023-12-02
19,19,Next Goal Wins,117384,76.3,-81.1,500,234,6350699,16,Searchlight Pictures,2023-12-02
20,20,Radical,104239,84.7,-62.3,255,408,8138027,30,Pantelion Films,2023-12-02
21,21,Journey to Bethlehem,81190,65.4,-65.1,466,174,6090329,23,Affirm Films,2023-12-02
22,22,Eileen,30975,-18.2,0.0,6,5162,68838,2,N/A,2023-12-02
23,23,Anatomy of a Fall,29630,84.0,-15.3,72,411,3470881,51,N/A,2023-12-02
24,24,Oppenheimer,9695,184.7,-6.3,101,95,325383975,135,Universal Pictures,2023-12-02
25,25,Barbie,3144,55.6,-38.5,31,101,636198325,135,Warner Bros.,2023-12-02
26,26,Stop Making Sense2023  Re-release,3121,63.7,-66.2,9,346,5071100,72,N/A,2023-12-02
27,27,After Death,1890,73.9,-73.3,22,85,11471212,37,Angel Studios,2023-12-02
28,29,Clean Slate2023 Re-release,1552,75.4,0.0,1,1552,2437,2,Rialto Pictures,2023-12-02
29,28,Peeping Tom2023 Re-release,1240,21.6,-45.5,2,620,13795,37,N/A,2023-12-02
30,-,Past Lives,630,0.0,0.0,4,157,11015727,184,A24,2023-12-02
31,30,Smoke Sauna Sisterhood,508,82.7,-73.8,2,254,6137,9,Greenwich Entertainment,2023-12-02
32,31,The Marsh King's Daughter,272,192.5,-45.7,3,90,1790511,30,Lionsgate Films,2023-12-02
1,2,Renaissance: A Film by Beyoncé,4156694,-31.0,0.0,2539,1637,21801216,3,N/A,2023-12-03
2,1,The Hunger Games: The Ballad of Songbirds & Snakes,4029272,-33.4,-39.0,3691,1091,120916868,17,Lionsgate Films,2023-12-03
3,3,Godzilla Minus One,2958332,-20.8,0.0,2308,1281,11419975,3,N/A,2023-12-03
4,4,Trolls Band Together,2526805,-30.1,-38.5,3616,698,75063460,17,Universal Pictures,2023-12-03
5,5,Wish,2522692,-28.6,-43.6,3900,646,42251092,12,Walt Disney Studios Motion Pictures,2023-12-03
6,6,Napoleon,2063781,-33.2,-56.3,3500,589,45891855,12,Columbia Pictures,2023-12-03
7,7,Animal,1719178,-15.2,0.0,698,2463,6524534,3,N/A,2023-12-03
8,8,The Shift,1125093,-21.0,0.0,2450,459,4300165,3,Angel Studios,2023-12-03
9,11,Silent Night,757411,-35.0,0.0,1870,405,3010207,3,Lionsgate Films,2023-12-03
10,10,The Marvels,711750,-38.9,-49.3,2200,323,80752350,24,Walt Disney Studios Motion Pictures,2023-12-03
11,9,Thanksgiving,679359,-42.4,-54.7,2506,271,28369354,17,TriStar Pictures,2023-12-03
12,12,Saltburn,530567,-18.2,-5.4,1566,338,6354453,17,Warner Bros.,2023-12-03
13,-,Monty Python and the Holy Grail2023 Re-release (48½th  Anniversary),478142,0.0,0.0,767,623,478142,1,N/A,2023-12-03
14,13,Dream Scenario,470441,-25.0,171.7,1578,298,3470330,24,A24,2023-12-03
15,14,The Holdovers,341160,-34.5,-48.8,1312,260,15127635,38,Focus Features,2023-12-03
16,15,Taylor Swift: The Eras Tour,222721,-15.6,-62.3,636,350,179618307,52,N/A,2023-12-03
17,16,Killers of the Flower Moon,140089,-30.8,-49.3,420,333,66515035,45,Paramount Pictures,2023-12-03
18,17,Five Nights at Freddy's,107895,-46.2,-70.2,732,147,136930060,38,Universal Pictures International (UPI),2023-12-03
19,18,Priscilla,102405,-23.0,-66.5,435,235,20384971,38,A24,2023-12-03
20,20,Radical,90258,-13.4,-61.1,255,353,8228285,31,Pantelion Films,2023-12-03
21,21,Journey to Bethlehem,70475,-13.2,-58.5,466,151,6160804,24,Affirm Films,2023-12-03
22,19,Next Goal Wins,66365,-43.5,-80.7,500,132,6417064,17,Searchlight Pictures,2023-12-03
23,22,Eileen,24452,-21.1,0.0,6,4075,93290,3,N/A,2023-12-03
24,23,Anatomy of a Fall,22815,-23.0,-6.9,72,316,3493696,52,N/A,2023-12-03
25,24,Oppenheimer,3995,-58.8,-53.3,101,39,325387970,136,Universal Pictures,2023-12-03
26,25,Barbie,2548,-19.0,-31.7,31,82,636200873,136,Warner Bros.,2023-12-03
27,26,Stop Making Sense2023  Re-release,1877,-39.9,-57.3,9,208,5072977,73,N/A,2023-12-03
28,29,Peeping Tom2023 Re-release,1762,42.1,7.6,2,881,15557,38,N/A,2023-12-03
29,27,After Death,1114,-41.1,-80.8,22,50,11472326,38,Angel Studios,2023-12-03
30,28,Clean Slate2023 Re-release,1063,-31.5,0.0,1,1063,3500,3,Rialto Pictures,2023-12-03
31,31,Smoke Sauna Sisterhood,512,0.8,-45.3,2,256,6649,10,Greenwich Entertainment,2023-12-03
32,30,Past Lives,465,-26.2,537.0,4,116,11016192,185,A24,2023-12-03
33,32,The Marsh King's Daughter,134,-50.7,-69.3,3,44,1790645,31,Lionsgate Films,2023-12-03
1,3,Godzilla Minus One,1225396,-58.6,0.0,2308,530,12645371,4,N/A,2023-12-04
2,2,The Hunger Games: The Ballad of Songbirds & Snakes,1197100,-70.3,-37.4,3691,324,122113968,18,Lionsgate Films,2023-12-04
3,7,Animal,819742,-52.3,0.0,698,1174,7344276,4,N/A,2023-12-04
4,6,Napoleon,684608,-66.8,-53.0,3500,195,46576463,13,Columbia Pictures,2023-12-04
5,8,The Shift,549563,-51.2,0.0,2450,224,4849728,4,Angel Studios,2023-12-04
6,5,Wish,388911,-84.6,-47.8,3900,99,42640003,13,Walt Disney Studios Motion Pictures,2023-12-04
7,4,Trolls Band Together,373395,-85.2,-39.5,3616,103,75436855,18,Universal Pictures,2023-12-04
8,12,Saltburn,296843,-44.1,-3.3,1566,189,6651296,18,Warner Bros.,2023-12-04
9,9,Silent Night,251934,-66.7,0.0,1870,134,3262141,4,Lionsgate Films,2023-12-04
10,11,Thanksgiving,228719,-66.3,-46.9,2506,91,28598073,18,TriStar Pictures,2023-12-04
11,14,Dream Scenario,192516,-59.1,198.9,1578,122,3662846,25,A24,2023-12-04
12,10,The Marvels,184181,-74.1,-45.8,2200,83,80936531,25,Walt Disney Studios Motion Pictures,2023-12-04
13,15,The Holdovers,129695,-62.0,-39.5,1312,98,15257330,39,Focus Features,2023-12-04
14,17,Killers of the Flower Moon,55336,-60.5,-38.7,420,131,66570371,46,Paramount Pictures,2023-12-04
15,19,Priscilla,45765,-55.3,-62.6,435,105,20430736,39,A24,2023-12-04
16,18,Five Nights at Freddy's,33450,-69.0,-61.4,732,45,136963510,39,Universal Pictures International (UPI),2023-12-04
17,21,Journey to Bethlehem,27850,-60.5,-47.4,466,59,6188654,25,Affirm Films,2023-12-04
18,22,Next Goal Wins,27517,-58.5,-75.8,500,55,6444581,18,Searchlight Pictures,2023-12-04
19,20,Radical,20966,-76.8,-45.7,255,82,8249251,32,Pantelion Films,2023-12-04
20,23,Eileen,10714,-56.2,0.0,6,1785,104004,4,N/A,2023-12-04
21,24,Anatomy of a Fall,9582,-58.0,-25.6,72,133,3503278,53,N/A,2023-12-04
22,13,Monty Python and the Holy Grail2023 Re-release (48½th  Anniversary),995,-99.8,0.0,767,1,479137,2,N/A,2023-12-04
23,-,Sound of Freedom,915,0.0,0.0,1,915,184178046,154,Angel Studios,2023-12-04
24,29,After Death,614,-44.9,-63.8,22,27,11472940,39,Angel Studios,2023-12-04
25,26,Barbie,503,-80.3,-34.5,31,16,636201376,137,Warner Bros.,2023-12-04
26,25,Oppenheimer,490,-87.7,-73.2,101,4,325388460,137,Universal Pictures,2023-12-04
27,28,Peeping Tom2023 Re-release,475,-73.0,-67.6,2,237,16032,39,N/A,2023-12-04
28,27,Stop Making Sense2023  Re-release,414,-77.9,-65.4,9,46,5073391,74,N/A,2023-12-04
29,30,Clean Slate2023 Re-release,396,-62.7,0.0,1,396,3896,4,Rialto Pictures,2023-12-04
30,31,Smoke Sauna Sisterhood,302,-41.0,-38.7,2,151,6951,11,Greenwich Entertainment,2023-12-04
31,33,The Marsh King's Daughter,245,82.8,18.4,3,81,1790890,32,Lionsgate Films,2023-12-04
1,2,The Hunger Games: The Ballad of Songbirds & Snakes,1798922,50.3,-32.9,3691,487,123912890,19,Lionsgate Films,2023-12-05
2,1,Godzilla Minus One,1714786,39.9,0.0,2308,742,14360157,5,N/A,2023-12-05
3,4,Napoleon,1016722,48.5,-49.2,3500,290,47593185,14,Columbia Pictures,2023-12-05
4,3,Animal,882238,7.6,0.0,698,1263,8226514,5,N/A,2023-12-05
5,6,Wish,643974,65.6,-37.4,3900,165,43283977,14,Walt Disney Studios Motion Pictures,2023-12-05
6,7,Trolls Band Together,617760,65.4,-23.4,3616,170,76054615,19,Universal Pictures,2023-12-05
7,5,The Shift,600304,9.2,0.0,2450,245,5450032,5,Angel Studios,2023-12-05
8,9,Silent Night,379291,50.6,0.0,1870,202,3641432,5,Lionsgate Films,2023-12-05
9,8,Saltburn,363781,22.5,-16.2,1566,232,7015077,19,Warner Bros.,2023-12-05
10,10,Thanksgiving,292261,27.8,-49.2,2506,116,28890334,19,TriStar Pictures,2023-12-05
11,12,The Marvels,281514,52.8,-43.2,2200,127,81218045,26,Walt Disney Studios Motion Pictures,2023-12-05
12,11,Dream Scenario,274112,42.4,244.9,1578,173,3936958,26,A24,2023-12-05
13,13,The Holdovers,216095,66.6,-38.7,1312,164,15473425,40,Focus Features,2023-12-05
14,14,Killers of the Flower Moon,66303,19.8,-42.3,420,157,66636674,47,Paramount Pictures,2023-12-05
15,15,Priscilla,62341,36.2,-61.4,435,143,20493077,40,A24,2023-12-05
16,18,Next Goal Wins,49613,80.3,-74.4,500,99,6494194,19,Searchlight Pictures,2023-12-05
17,16,Five Nights at Freddy's,40555,21.2,-59.8,732,55,137004065,40,Universal Pictures International (UPI),2023-12-05
18,17,Journey to Bethlehem,37227,33.7,-53.3,466,79,6225881,26,Affirm Films,2023-12-05
19,19,Radical,35789,70.7,-44.7,255,140,8285040,33,Pantelion Films,2023-12-05
20,20,Eileen,10537,-1.7,0.0,6,1756,114541,5,N/A,2023-12-05
21,21,Anatomy of a Fall,9295,-3.0,-32.6,72,129,3512573,54,N/A,2023-12-05
22,22,Monty Python and the Holy Grail2023 Re-release (48½th  Anniversary),1985,99.5,0.0,767,2,481122,3,N/A,2023-12-05
23,29,Clean Slate2023 Re-release,1194,201.5,0.0,1,1194,5090,5,Rialto Pictures,2023-12-05
24,25,Barbie,1116,121.9,-42.4,31,36,636202492,138,Warner Bros.,2023-12-05
25,27,Peeping Tom2023 Re-release,836,76.0,-37.0,2,418,16868,40,N/A,2023-12-05
26,26,Oppenheimer,835,70.4,-50.0,101,8,325389295,138,Universal Pictures,2023-12-05
27,28,Stop Making Sense2023  Re-release,745,80.0,-55.6,9,82,5074136,75,N/A,2023-12-05
28,24,After Death,645,5.0,-69.0,22,29,11473585,40,Angel Studios,2023-12-05
29,31,The Marsh King's Daughter,239,-2.4,19.5,3,79,1791129,33,Lionsgate Films,2023-12-05
30,-,Past Lives,132,0.0,1785.7,4,33,11016324,187,A24,2023-12-05
31,30,Smoke Sauna Sisterhood,76,-74.8,-52.8,2,38,7027,12,Greenwich Entertainment,2023-12-05
1,2,Godzilla Minus One,1361343,-20.6,0.0,2308,589,15721500,6,N/A,2023-12-06
2,1,The Hunger Games: The Ballad of Songbirds & Snakes,1186542,-34.0,-35.7,3691,321,125099432,20,Lionsgate Films,2023-12-06
3,3,Napoleon,700234,-31.1,-46.2,3500,200,48293419,15,Columbia Pictures,2023-12-06
4,4,Animal,588036,-33.3,0.0,698,842,8814550,6,N/A,2023-12-06
5,-,The Abyss4K - Special Edition,520104,0.0,0.0,0,0,520104,1,20th Century Studios,2023-12-06
6,7,The Shift,467750,-22.1,0.0,2450,190,5917782,6,Angel Studios,2023-12-06
7,6,Trolls Band Together,419485,-32.1,-20.7,3616,116,76474100,20,Universal Pictures,2023-12-06
8,5,Wish,407960,-36.6,-31.0,3900,104,43691937,15,Walt Disney Studios Motion Pictures,2023-12-06
9,9,Saltburn,282264,-22.4,-28.5,1566,180,7297341,20,Warner Bros.,2023-12-06
10,22,Monty Python and the Holy Grail2023 Re-release (48½th  Anniversary),252672,12629.1,0.0,767,329,733794,4,N/A,2023-12-06
11,8,Silent Night,246999,-34.9,0.0,1870,132,3888431,6,Lionsgate Films,2023-12-06
12,10,Thanksgiving,216013,-26.1,-46.3,2506,86,29106347,20,TriStar Pictures,2023-12-06
13,11,The Marvels,201825,-28.3,-39.9,2200,91,81419870,27,Walt Disney Studios Motion Pictures,2023-12-06
14,12,Dream Scenario,194094,-29.2,175.7,1578,123,4131052,27,A24,2023-12-06
15,13,The Holdovers,150735,-30.2,-36.4,1312,114,15624160,41,Focus Features,2023-12-06
16,14,Killers of the Flower Moon,49846,-24.8,-49.2,420,118,66686520,48,Paramount Pictures,2023-12-06
17,15,Priscilla,47094,-24.5,-64.6,435,108,20540171,41,A24,2023-12-06
18,17,Five Nights at Freddy's,34045,-16.1,-60.8,732,46,137038110,41,Universal Pictures International (UPI),2023-12-06
19,18,Journey to Bethlehem,30767,-17.4,-50.1,466,66,6256648,27,Affirm Films,2023-12-06
20,16,Next Goal Wins,26359,-46.9,-78.2,500,52,6520553,20,Searchlight Pictures,2023-12-06
21,19,Radical,20135,-43.7,-41.1,255,78,8305175,34,Pantelion Films,2023-12-06
22,21,Anatomy of a Fall,10875,17.0,-24.1,72,151,3523448,55,N/A,2023-12-06
23,20,Eileen,9656,-8.4,0.0,6,1609,124197,6,N/A,2023-12-06
24,27,Stop Making Sense2023  Re-release,1396,87.4,-71.5,9,155,5075532,76,N/A,2023-12-06
25,23,Clean Slate2023 Re-release,716,-40.0,0.0,1,716,5806,6,Rialto Pictures,2023-12-06
26,25,Peeping Tom2023 Re-release,697,-16.6,-41.5,2,348,17565,41,N/A,2023-12-06
27,24,Barbie,622,-44.3,-37.8,31,20,636203114,139,Warner Bros.,2023-12-06
28,26,Oppenheimer,545,-34.7,-70.7,101,5,325389840,139,Universal Pictures,2023-12-06
29,31,Smoke Sauna Sisterhood,348,357.9,-40.4,2,174,7375,13,Greenwich Entertainment,2023-12-06
30,28,After Death,312,-51.6,-83.6,22,14,11473897,41,Angel Studios,2023-12-06
31,29,The Marsh King's Daughter,140,-41.4,-25.1,3,46,1791269,34,Lionsgate Films,2023-12-06
1,1,Godzilla Minus One,1279834,-6.0,0.0,2308,554,17001334,7,N/A,2023-12-07
2,-,Renaissance: A Film by Beyoncé,1249948,0.0,0.0,2539,492,23051164,7,N/A,2023-12-07
3,2,The Hunger Games: The Ballad of Songbirds & Snakes,1156494,-2.5,-32.0,3691,313,126255926,21,Lionsgate Films,2023-12-07
4,-,Waitress: The Musical,672105,0.0,0.0,1214,553,672105,1,Bleecker Street Media,2023-12-07
5,3,Napoleon,601153,-14.1,-45.4,3500,171,48894572,16,Columbia Pictures,2023-12-07
6,4,Animal,458418,-22.0,0.0,698,656,9272968,7,N/A,2023-12-07
7,6,The Shift,425018,-9.1,0.0,2450,173,6342800,7,Angel Studios,2023-12-07
8,8,Wish,420909,3.2,-26.1,3900,107,44112846,16,Walt Disney Studios Motion Pictures,2023-12-07
9,7,Trolls Band Together,407675,-2.8,-21.1,3616,112,76881775,21,Universal Pictures,2023-12-07
10,9,Saltburn,255364,-9.5,-17.2,1566,163,7552705,21,Warner Bros.,2023-12-07
11,11,Silent Night,235943,-4.5,0.0,1870,126,4124374,7,Lionsgate Films,2023-12-07
12,13,The Marvels,190568,-5.6,-36.4,2200,86,81610438,28,Walt Disney Studios Motion Pictures,2023-12-07
13,12,Thanksgiving,165322,-23.5,-51.2,2506,65,29271669,21,TriStar Pictures,2023-12-07
14,14,Dream Scenario,151237,-22.1,-15.4,1578,95,4282289,28,A24,2023-12-07
15,15,The Holdovers,121515,-19.4,-35.6,1312,92,15745675,42,Focus Features,2023-12-07
16,16,Killers of the Flower Moon,41164,-17.4,-44.6,420,98,66727684,49,Paramount Pictures,2023-12-07
17,19,Journey to Bethlehem,38054,23.7,-21.6,466,81,6294702,28,Affirm Films,2023-12-07
18,17,Priscilla,36549,-22.4,-54.3,435,84,20576720,42,A24,2023-12-07
19,18,Five Nights at Freddy's,25460,-25.2,-56.8,732,34,137063570,42,Universal Pictures International (UPI),2023-12-07
20,-,Taylor Swift: The Eras Tour,23580,0.0,-58.2,636,37,179641887,56,N/A,2023-12-07
21,20,Next Goal Wins,22319,-15.3,-71.6,500,44,6542872,21,Searchlight Pictures,2023-12-07
22,21,Radical,15181,-24.6,-31.8,255,59,8320356,35,Pantelion Films,2023-12-07
23,22,Anatomy of a Fall,12180,12.0,3.6,72,169,3535628,56,N/A,2023-12-07
24,23,Eileen,7063,-26.9,0.0,6,1177,131260,7,N/A,2023-12-07
25,28,Oppenheimer,5220,857.8,35.4,101,51,325395060,140,Universal Pictures,2023-12-07
26,27,Barbie,1003,61.3,-23.7,31,32,636204117,140,Warner Bros.,2023-12-07
27,10,Monty Python and the Holy Grail2023 Re-release (48½th  Anniversary),902,-99.6,0.0,767,1,734696,5,N/A,2023-12-07
28,26,Peeping Tom2023 Re-release,694,-0.4,-51.2,2,347,18259,42,N/A,2023-12-07
29,24,Stop Making Sense2023  Re-release,678,-51.4,-81.5,9,75,5076210,77,N/A,2023-12-07
30,30,After Death,662,112.2,-61.8,22,30,11474559,42,Angel Studios,2023-12-07
31,29,Smoke Sauna Sisterhood,510,46.6,-6.8,2,255,7885,14,Greenwich Entertainment,2023-12-07
32,25,Clean Slate2023 Re-release,418,-41.6,0.0,1,418,6224,7,Rialto Pictures,2023-12-07
33,-,Past Lives,350,0.0,0.0,4,87,11016674,189,A24,2023-12-07
34,31,The Marsh King's Daughter,134,-4.3,-90.2,3,44,1791403,35,Lionsgate Films,2023-12-07
1,-,The Boy and the Heron,5602603,0.0,0.0,2205,2540,5602603,1,GKIDS,2023-12-08
2,3,The Hunger Games: The Ballad of Songbirds & Snakes,2684080,132.1,-34.5,3665,732,128940006,22,Lionsgate Films,2023-12-08
3,1,Godzilla Minus One,2275678,77.8,-51.9,2540,895,19277012,8,N/A,2023-12-08
4,2,Renaissance: A Film by Beyoncé,1642476,31.4,-85.9,2542,646,24693640,8,N/A,2023-12-08
5,9,Trolls Band Together,1371905,236.5,-18.9,3451,397,78253680,22,Universal Pictures,2023-12-08
6,8,Wish,1172072,178.5,-29.1,3410,343,45284918,17,Walt Disney Studios Motion Pictures,2023-12-08
7,5,Napoleon,1167448,94.2,-45.1,3350,348,50062020,17,Columbia Pictures,2023-12-08
8,6,Animal,745735,62.7,-73.2,632,1179,10023112,8,N/A,2023-12-08
9,4,Waitress: The Musical,744126,10.7,0.0,1214,612,1416231,2,Bleecker Street Media,2023-12-08
10,7,The Shift,618905,45.6,-64.6,2415,256,6961705,8,Angel Studios,2023-12-08
11,11,Silent Night,491712,108.4,-54.8,1873,262,4616086,8,Lionsgate Films,2023-12-08
12,13,Thanksgiving,353755,114.0,-53.6,2025,174,29625424,22,TriStar Pictures,2023-12-08
13,10,Saltburn,340184,33.2,-33.1,707,481,7892889,22,Warner Bros.,2023-12-08
14,12,The Marvels,340040,78.4,-47.6,1700,200,81950478,29,Walt Disney Studios Motion Pictures,2023-12-08
15,-,Die Hard2023 Re-release,331050,0.0,0.0,1355,244,331050,1,Twenty First Century Entertainment,2023-12-08
16,-,Poor Things,279075,0.0,0.0,9,31008,279075,1,Searchlight Pictures,2023-12-08
17,24,Eileen,245362,3373.9,548.0,532,461,376622,8,N/A,2023-12-08
18,15,The Holdovers,180130,48.2,-47.2,923,195,15925805,43,Focus Features,2023-12-08
19,14,Dream Scenario,172455,14.0,-70.9,1250,137,4454744,29,A24,2023-12-08
20,-,The Oath,112165,0.0,0.0,640,175,112165,1,Freestyle Releasing,2023-12-08
21,25,Oppenheimer,90995,1643.2,2572.4,1316,69,325486055,141,Universal Pictures,2023-12-08
22,-,Love Actually2023 Re-release,89786,0.0,0.0,927,96,89786,1,Universal Pictures,2023-12-08
23,20,Taylor Swift: The Eras Tour,57394,143.4,-59.8,636,90,179699281,57,N/A,2023-12-08
24,16,Killers of the Flower Moon,51532,25.2,-56.9,247,208,66779216,50,Paramount Pictures,2023-12-08
25,17,Journey to Bethlehem,40436,6.3,-17.6,455,88,6335138,29,Affirm Films,2023-12-08
26,-,Origin,38209,0.0,0.0,2,19104,38209,1,N/A,2023-12-08
27,18,Priscilla,35675,-2.4,-64.3,230,155,20612395,43,A24,2023-12-08
28,19,Five Nights at Freddy's,26245,3.1,-74.8,265,99,137089815,43,Universal Pictures International (UPI),2023-12-08
29,22,Radical,26027,71.4,-53.9,150,173,8346383,36,Pantelion Films,2023-12-08
30,21,Next Goal Wins,21995,-1.5,-67.0,190,115,6564867,22,Searchlight Pictures,2023-12-08
31,23,Anatomy of a Fall,8161,-33.0,-49.3,46,177,3543789,57,N/A,2023-12-08
32,26,Barbie,1015,1.2,-49.8,26,39,636205132,141,Warner Bros.,2023-12-08
33,29,Stop Making Sense2023  Re-release,736,8.6,-61.4,8,92,5076946,78,N/A,2023-12-08
34,28,Peeping Tom2023 Re-release,576,-17.0,-43.5,2,288,18835,43,N/A,2023-12-08
35,30,After Death,417,-37.0,-61.6,9,46,11474976,43,Angel Studios,2023-12-08
36,31,Smoke Sauna Sisterhood,168,-67.1,-39.6,3,56,8053,15,Greenwich Entertainment,2023-12-08
37,32,Clean Slate2023 Re-release,155,-62.9,-82.5,1,155,6379,8,Rialto Pictures,2023-12-08
38,33,Past Lives,57,-83.7,0.0,4,14,11016731,190,A24,2023-12-08
39,34,The Marsh King's Daughter,48,-64.2,-48.4,2,24,1791451,36,Lionsgate Films,2023-12-08
1,1,The Boy and the Heron,4042880,-27.8,0.0,2205,1833,9645483,2,GKIDS,2023-12-09
2,2,The Hunger Games: The Ballad of Songbirds & Snakes,4016253,49.6,-33.6,3665,1095,132956259,23,Lionsgate Films,2023-12-09
3,3,Godzilla Minus One,3674780,61.5,-1.6,2540,1446,22951792,9,N/A,2023-12-09
4,5,Trolls Band Together,2809210,104.8,-22.2,3451,814,81062890,23,Universal Pictures,2023-12-09
5,6,Wish,2444626,108.6,-30.8,3410,716,47729544,18,Walt Disney Studios Motion Pictures,2023-12-09
6,4,Renaissance: A Film by Beyoncé,2104010,28.1,-65.1,2542,827,26797650,9,N/A,2023-12-09
7,7,Napoleon,1792906,53.6,-41.9,3350,535,51854926,18,Columbia Pictures,2023-12-09
8,9,Waitress: The Musical,1010851,35.8,0.0,1214,832,2427082,3,Bleecker Street Media,2023-12-09
9,8,Animal,993733,33.3,-51.0,632,1572,11016845,9,N/A,2023-12-09
10,10,The Shift,872690,41.0,-38.7,2415,361,7834395,9,Angel Studios,2023-12-09
11,11,Silent Night,743607,51.2,-36.1,1873,397,5359693,9,Lionsgate Films,2023-12-09
